year,exit,observed,pct
1,TRUE,TRUE,0.2089452155837189
1,TRUE,FALSE,0.2104703067010541
2,TRUE,TRUE,0.20552538054046804
2,TRUE,FALSE,0.12085785266229898
3,TRUE,TRUE,0.1448400724200362
3,TRUE,FALSE,0.05799123259970006
4,TRUE,TRUE,0.09964460537785824
4,TRUE,FALSE,0.02169555793972311
5,TRUE,TRUE,0.07208475826460135
5,TRUE,FALSE,0.006091606575082858
6,TRUE,TRUE,0.05699725072084758
6,TRUE,FALSE,0.0012821207440790968
7,TRUE,TRUE,0.04613424528934486
7,TRUE,FALSE,2.0791340741591706e-4
8,TRUE,TRUE,0.03460068396700865
8,TRUE,FALSE,2.7110466636387496e-5
9,TRUE,TRUE,0.02641990209883994
9,TRUE,FALSE,2.976819706151499e-6
10,TRUE,TRUE,0.02306712264467243
10,TRUE,FALSE,2.871212262190358e-7
1,FALSE,TRUE,0.2285844248066748
1,FALSE,FALSE,0.10790349042824798
2,FALSE,TRUE,0.20228539925486091
2,FALSE,FALSE,0.1391874884529158
3,FALSE,TRUE,0.14839575546478043
3,FALSE,FALSE,0.12505628662366186
4,FALSE,TRUE,0.11283573554414604
4,FALSE,FALSE,0.07748926242846546
5,FALSE,TRUE,0.08557488565135674
5,FALSE,FALSE,0.03356874331730925
6,FALSE,TRUE,0.06809716334106036
6,FALSE,FALSE,0.010522031104404899
7,FALSE,TRUE,0.05166370745810875
7,FALSE,FALSE,0.002503700505808196
8,FALSE,TRUE,0.0372913037343902
8,FALSE,FALSE,4.7689180675664116e-4
9,FALSE,TRUE,0.02890969162017575
9,FALSE,FALSE,7.649415437237665e-5
10,FALSE,TRUE,0.0220120370606091
10,FALSE,FALSE,1.0795098629966433e-5
